,awardeeName,count
723,"OPERA BIOSCIENCE, INC.",1
722,"ONE SPOT LEARNING, INC.",1
718,OFM Research,1
717,OBEEWAN TECHNOLOGIES INC,1
747,PIKE ROBOTICS INC.,1
746,"PIERSICA, INC.",1
745,PHOTONECT INTERCONNECT SOLUTIONS INC,1
744,"PHLUX TECHNOLOGIES, INC.",1
743,"PHAXTEC, INC.",1
741,"PERCEPTRA TECHNOLOGIES, INC.",1
580,"MIXTA RE, INC",1
579,MINNESOTA STATE COLLEGES AND UNIVERSITIES,1
578,"MINDTRACE TECHNOLOGIES, INC.",1
577,MICROPURE GENOMICS INC.,1
576,"MICRO-GRX, INCORPORATED",1
573,"METEORA3D, INCORPORATED",1
572,MESPILUS INC.,1
571,MERIT STRATEGY LLC,1
569,MEDIMINT,1
567,"MARK O'NEILL, LLC",1
762,Pasadena City College,1
760,Palomar College,1
759,Palm Beach State College,1
758,PUMPKINSEED TECHNOLOGIES INC,1
757,"PUERTO RICO SCIENCE, TECHNOLOGY AND RESEARCH TRUST",1
558,"Loyd, Kaitlyn F",1
557,Lovelace Institutes,1
552,Los Angeles Mission College,1
550,"Lopez, Marco Antonio",1
756,PSL FOUNDATION,1
755,"PROMPT DIAGNOSTICS, INC.",1
754,PRISSEM ACADEMIC SERVICES LLC,1
752,"PRIMARY BIOSCIENCE, INC.",1
751,PRAG LLC,1
749,PLANETTE ANALYTICS INC,1
748,PINWHEEL SOLAR LLC,1
533,Lafayette College,1
788,"REVIVBIO, INC",1
787,REVA X-RAY SYSTEMS CORPORATION,1
786,"RESONANTIA DIAGNOSTICS, INC.",1
785,RESILITIX INTELLIGENCE LLC,1
784,"RELAI, INC.",1
783,REHABNETICS MEDICAL LLC,1
781,"RAVEL HOLDINGS, INC.",1
780,"RAPICURE SOLUTIONS, INC.",1
779,RAINBOW HOSPITALITY LLC,1
778,QUANTUM METROLOGY,1
777,"QUANTUM COPPER, INC.",1
771,Pratt Institute,1
770,"Prall, Wil",1
766,Perot Museum of Nature and Science,1
765,Pensacola Junior College,1
795,"Raghavendran, Surya",1
793,RUSHNU INC,1
792,RT MICRODX INC.,1
791,ROWLAND ROBERT REEVES,1
790,ROWBOT SYSTEMS LLC,1
789,RIPPLE EFFECT WATER LITERACY PROJECT,1
547,"Lewis, Briley Lynn",1
546,Lewis and Clark College,1
545,"Levy, Drew",1
544,"Leng, James",1
542,Lawson State Community College,1
540,Las Cumbres Observatory Global Telescope Network,1
539,"Larsen, Tyler J",1
538,"Langharst, Dylan Jacob",1
535,Lake Pontchartrain Basin Foundation,1
534,Lake Forest College,1
808,Research Foundation Of The City University Of New York (Lehman),1
807,Research Foundation For Mental Hygiene Inc,1
806,Research Foundation CUNY - Advanced Science Research Center,1
532,Lac Courte Oreilles Ojibwa Community College,1
531,La Sierra University,1
529,"LUTRIS, INC.",1
527,"LUCA AI, LLC",1
525,LOGISTICS MANAGEMENT INSTITUTE,1
524,"LIFELAB STUDIOS, INC.",1
522,LEAP PHOTONICS INC.,1
521,LAVO LIFE SCIENCES INC,1
520,LASER GRAPHICTRONICS LLC,1
519,Koliber Biosciences Inc.,1
518,Klamath Community College,1
798,"Ray, Courtenay A",1
796,"Raman, Sidhanth",1
832,SAMSAT,1
831,"SALIENT PREDICTIONS, INC.",1
830,"SAKURA SOFTWARE SOLUTIONS, LLC",1
829,"Rutkowski, Danielle",1
826,Rutgers University Camden,1
825,Rowe                    Amanda         K,1
823,Rose-Hulman Institute of Technology,1
822,Roosevelt University,1
820,Roger Williams University,1
817,"Robotis, Antonios-Alexan",1
815,Roanoke College,1
814,"Ritter, Eleanore Jeanne",1
813,"Reyes-Rivera, Josean",1
811,Restore America's Estuaries,1
810,Research Triangle Institute,1
809,Research Foundation of the State University of New York,1
840,"SENTIRE MEDICAL SYSTEMS, INC.",1
839,"SELIGHT, LLC",1
838,SEIA BIO INC,1
837,"SEGMEDIX, CO.",1
516,"Kim, Yujin H",1
515,"Kim, Jisoo",1
512,Kentucky State University,1
511,Kentucky Science & Technology Corporation,1
504,Kansas City Kansas Community College,1
503,"Kaczmarek, Elska B",1
502,KHEMIA METALS INC,1
501,"KAYA FERTILIZERS, LLC",1
836,SEABIRD LIFESCIENCES LLC,1
835,"SEA-GAL TECHNOLOGIES, INC.",1
834,SCORPIDO PHOTONICS,1
833,SANGTERA INC,1
498,"Jones, Samuel E I",1
497,"Jolly, Amber R",1
496,Joliet Junior College,1
495,Johnson County Community College,1
491,"Jimenez Polo, Harold",1
490,"Jeznach, Cole",1
489,"Jennings, Sarah L",1
487,"Jackson, India",1
485,"JUNIPERO THERAPEUTICS, INC.",1
852,SUBMARINE SCIENTIFIC LLC,1
851,STEM RESOURCES LLC,1
850,STELLAR ENGIINE,1
849,"STEADI SYSTEMS, LLC",1
845,"SOL ROBOTICS, INC.",1
843,SINGLE CRYSTAL DIAMOND INC,1
842,SIMMBION LLC,1
